caso_id_canonico,tomo,source_file,li,lf,lfr,retroceso,bloque_total,token_siguiente,sig_caso_id,linea_corte_texto,clasificacion_corte,firma_entre_lfr_lf,firma_linea,firma_texto,hay_dispositivo_perdido,contexto_lfr_menos2,contexto_lfr_menos1,contexto_lfr,contexto_lfr_mas1,contexto_lfr_mas2
329_p4158,329,LibroVol329.3.md,46312,46423,46336,87,111,Peirano,329_p1219,"por este Ministerio Público, el 29 de abril de 2003 y 19 de abril de 2004",otro,SI,46418,ENRIQUE SANTIAGO PETRACCHI — CARLOS S. FAYT — JUAN CARLOS,SI,La cuestión sometida a conocimiento del Tribunal en el sub lite,resulta sustancialmente análoga a la que fuera objeto de tratamiento,"por este Ministerio Público, el 29 de abril de 2003 y 19 de abril de 2004","al expedirse in re T. 97, XXXIX, Originario “Transportes Metropolita-","nos General San Martín y otros c/ Buenos Aires, Provincia de s/ Acción"
329_p4168,329,LibroVol329.3.md,46706,46763,46728,35,57,Provincia,329_p4170,1) Que a fs. 165/166 la Provincia de Salta solicita que se declare la,otro,,,,,"Buenos Aires, 26 de septiembre de 2006.",Autos y Vistos: Considerando:,1) Que a fs. 165/166 la Provincia de Salta solicita que se declare la,caducidad de la instancia en las presentes actuaciones por considerar,que desde el 1 de julio de 2003 –día en que le fue notificada a la parte
329_p4170,329,LibroVol329.3.md,46778,46838,46820,18,60,Provincia,329_p4172,"fs. 474/479), la provincia no denunció haber efectuado la previsión pre-",otro,,,,,pesar del tiempo transcurrido desde el dictado de la sentencia que,condenó al pago de la obligación que se ejecuta (29 de junio de 2004;,"fs. 474/479), la provincia no denunció haber efectuado la previsión pre-","supuestaria pertinente. En su mérito, en la medida en que el embargo",constituye un trámite procesal insoslayable del procedimiento de eje-
329_p4172,329,LibroVol329.3.md,46840,46984,46969,15,144,Ferrocarriles,329_p2610,fin de que la Dirección de Rentas de la Provincia de Buenos Aires se,otro,,,,,en el art. 117 de la Constitución Nacional.,3) Que los actores solicitan el dictado de una medida cautelar a,fin de que la Dirección de Rentas de la Provincia de Buenos Aires se,"abstenga de reclamar a TBA y a sus directores y ex directores, por vía","judicial o extrajudicial, el capital y los intereses aquí cuestionados hasta"
329_p4176,329,LibroVol329.3.md,47000,47056,47048,8,56,Provincia,329_p4178,"parte una Provincia, en una causa de manifiesto contenido federal y,",otro,,,,,"tos que doy aquí por reproducidos brevitatis causae, opino que este","proceso corresponde a la competencia originaria de la Corte, por ser","parte una Provincia, en una causa de manifiesto contenido federal y,","además, por ser citado el Estado Nacional como tercero a juicio, en los",términos del art. 94 del Código Procesal Civil y Comercial de la Na-
329_p4263,329,LibroVol329.3.md,50149,50261,50241,20,112,Provincia,329_p4266,"estas actuaciones los codemandados Provincia de Buenos Aires, Juan",otro,SI,50255,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS,,"día 17 de octubre, a las 9.30 horas del corriente año, a fin de efectuar",el sorteo correspondiente; II. Dado que aún no se han presentado en,"estas actuaciones los codemandados Provincia de Buenos Aires, Juan","Gabriel Di Bernardo, y Federación Patronal S.A., notifíqueseles la",audiencia fijada. Al gobernador y al fiscal de Estado por medio de ofi-
329_p4622,329,LibroVol329.3.md,63771,63993,63842,151,222,Ministerio,329_p4628,"La Corte, de conformidad con lo solicitado por este Ministerio Pú-",otro,SI,63984,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — JUAN,SI,FALLOS DE LA CORTE SUPREMA,329,"La Corte, de conformidad con lo solicitado por este Ministerio Pú-","blico (fs. 57), corrió traslado a la actora de esta presentación quien, en","su contestación, afirma su improcedencia ya que no resulta de aplica-"
329_p4688,329,LibroVol329.3.md,66244,67271,66872,399,1027,González,329_p4715,"Buenos Aires, 18 de octubre de 2002. Luis Santiago González Warcalde.",otro,SI,66975,ENRIQUE SANTIAGO PETRACCHI (en disidencia parcial) — ELENA I. HIGHTON,SI,y confirmar la sentencia del Tribunal Superior de Neuquén en la con-,dena a Carlos Francisco Garrafa por el delito de lesiones culposas.,"Buenos Aires, 18 de octubre de 2002. Luis Santiago González Warcalde.",FALLO DE LA CORTE SUPREMA,"Buenos Aires, 31 de octubre de 2006."
329_p4755,329,LibroVol329.3.md,68843,69090,68996,94,247,Ministerio,329_p4762,nal – Ministerio de Economía en la causa Municipalidad de la Capital,otro,SI,69027,ENRIQUE SANTIAGO PETRACCHI (según su voto) — ELENA I. HIGHTON DE,SI,"Buenos Aires, 31 de octubre de 2006.",Vistos los autos: “Recurso de hecho deducido por el Estado Nacio-,nal – Ministerio de Economía en la causa Municipalidad de la Capital,de Catamarca c/ Empresa Nacional de Telecomunicaciones y Estado,"Nacional”, para decidir sobre su procedencia."
329_p4762,329,LibroVol329.3.md,69100,69347,69340,7,247,Poder,329_p4769,circunstancias de tribunales militares o de quienes ejercían el Poder,otro,,,,,recho constitucional a la libertad en razón de actos ilegítimos –cual-,quiera que hubiese sido su expresión formal– “emanados en ciertas,circunstancias de tribunales militares o de quienes ejercían el Poder,Ejecutivo de la Nación durante el último gobierno de facto”. Los poste-,"riores decretos 1023/92 y ley 24.096, en los pasajes que han sido"
329_p4789,329,LibroVol329.3.md,70081,70627,70603,24,546,Provincia,329_p4804,contra la Provincia de Entre Ríos por la suma de veintiocho mil dos-,otro,,,,,movida mas allá de la oportunidad prevista en el art. 331 del Código,Procesal Civil y Comercial de la Nación; y hacer lugar a la demanda,contra la Provincia de Entre Ríos por la suma de veintiocho mil dos-,cientos sesenta pesos ($ 28.260).,18) Que tampoco cabe admitir la compensación por depreciación
329_p4822,329,LibroVol329.3.md,71311,71448,71381,67,137,Provincia,329_p4826,"Provincia del s/ medida cautelar – IN1” (Fallos: 329:4820), a cuyos fun-",cita,,,,,"cional, tal como ha sido desarrollado en el pronunciamiento dictado en","la fecha en el proceso caratulado Y.19.XLII “Y.P.F. S.A. c/ Neuquén,","Provincia del s/ medida cautelar – IN1” (Fallos: 329:4820), a cuyos fun-",damentos y conclusiones corresponde remitir en razón de brevedad.,3º) Que Pluspetrol S.A. solicita que se dicte una medida de no in-
329_p4862,329,LibroVol329.3.md,72805,72877,72864,13,72,ANSeS,329_p4865,denar a la ANSeS que otorgue la pensión solicitada desde la fecha de,otro,SI,72868,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — E. RAÚL,,"Por ello, el Tribunal resuelve: Declarar procedente el recurso or-","dinario interpuesto por la actora, revocar la sentencia apelada y or-",denar a la ANSeS que otorgue la pensión solicitada desde la fecha de,solicitud de la reapertura del procedimiento. Notifíquese y devuél-,vase.
329_p4865,329,LibroVol329.3.md,72879,73072,73056,16,193,ANSeS,329_p4870,"causa Boffelli, Santiago Otto Valentín c/ ANSeS”, para decidir sobre",otro,SI,73068,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — JUAN,SI,"Buenos Aires, 31 de octubre de 2006.",Vistos los autos: “Recurso de hecho deducido por la actora en la,"causa Boffelli, Santiago Otto Valentín c/ ANSeS”, para decidir sobre",su procedencia.,Considerando:
329_p4870,329,LibroVol329.3.md,73079,73186,73182,4,107,ANSeS,329_p4873,"causa Grosso, Irma Inés c/ ANSeS, para decidir sobre su procedencia.",otro,,,,,"Buenos Aires, 31 de octubre de 2006.",Vistos los autos: “Recurso de hecho deducido por la actora en la,"causa Grosso, Irma Inés c/ ANSeS, para decidir sobre su procedencia.",,4873
329_p4873,329,LibroVol329.3.md,73205,73336,73324,12,131,ANSeS,329_p4877,"causa Hausherr, Arnoldo c/ ANSeS”, para decidir sobre su proce-",otro,,,,SI,"Buenos Aires, 31 de octubre de 2006.",Vistos los autos: “Recurso de hecho deducido por la actora en la,"causa Hausherr, Arnoldo c/ ANSeS”, para decidir sobre su proce-",dencia.,Considerando:
329_p5007,329,LibroVol329.4.md,4481,4596,4581,15,115,Poder,329_p123,pretensión del recurrente y a ordenar a la ANSeS que redetermine el,otro,,,,,do la mentada resolución 864/2004 ha disipado las dudas respecto de,"la naturaleza de las tareas invocadas, aspectos que llevan a admitir la",pretensión del recurrente y a ordenar a la ANSeS que redetermine el,"monto originario del haber aplicando el art. 49, inciso 2, apartado d,",de la ley 18.037.
329_p5010,329,LibroVol329.4.md,4599,4788,4753,35,189,Rosselli,329_p3087,ANSeS para cotejar el monto de la jubilación percibida antes del cam-,otro,SI,4778,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS,SI,del beneficio acordado.,"12) Que, por lo demás, resulta objetable el método empleado por la",ANSeS para cotejar el monto de la jubilación percibida antes del cam-,bio de sistema con las remuneraciones correspondientes al cargo en,actividad. Aparte de que no se ha dado al interesado participación
329_p5033,329,LibroVol329.4.md,5472,5895,5874,21,423,Salas,329_p149,"Vistos los autos: “AADI CAPIF, Asociación Civil Recaudadora c/",vistos,SI,5885,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — JUAN,SI,FALLO DE LA CORTE SUPREMA,"Buenos Aires, 14 de noviembre de 2006.","Vistos los autos: “AADI CAPIF, Asociación Civil Recaudadora c/",Hotel Belgrano S.A. s/ cobro de pesos (sumario)”.,Considerando:
329_p5089,329,LibroVol329.4.md,7614,7681,7663,18,67,General,329_p206,"Astiz en la causa Astiz, Alfredo Ignacio s/ extradición”, para decidir",otro,SI,7676,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS,SI,"Buenos Aires, 14 de noviembre de 2006.",Vistos los autos: “Recurso de hecho deducido por Alfredo Ignacio,"Astiz en la causa Astiz, Alfredo Ignacio s/ extradición”, para decidir",sobre su procedencia.,Considerando:
329_p5151,329,LibroVol329.4.md,9945,10177,10155,22,232,Reynoso,329_p1638,"la provincia en el punto 6 de fs. 909, relativa a la capitalización de los",otro,,,,,"Código Procesal Civil y Comercial de la Nación) y, en consecuencia,",admitirse el reclamo con la salvedad de la observación formulada por,"la provincia en el punto 6 de fs. 909, relativa a la capitalización de los","intereses a partir del 1º de julio de 1996, que se examinará en los",considerandos siguientes; máxime cuando la extinción de la obliga-
329_p5178,329,LibroVol329.4.md,11014,11217,11149,68,203,Astíz,329_p297,"ponsabilidad de la provincia demandada, a que el establecimiento es-",otro,,,,,10 de agosto de 1995 en la causa anterior tiene autoridad de cosa juz-,"gada en lo que hace a su carácter de propietario del campo, a la res-","ponsabilidad de la provincia demandada, a que el establecimiento es-",taba compuesto por 619 hectáreas con aptitud agrícola y 181 hectá-,"reas con aptitud ganadera, a que el nivel del campo se fijó en las cotas"
329_p5317,329,LibroVol329.4.md,16441,16492,16441,51,51,Poder,329_p5319,V. PODER JUDICIAL DE LA NACION,sumario_header,SI,16486,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — JUAN,SI,ZAFFARONI — RICARDO LUIS LORENZETTI — CARMEN M. ARGIBAY.,LEONIDAS JUAN GUSTAVO MOLDES Y OTROS,V. PODER JUDICIAL DE LA NACION,RECURSO DE QUEJA: Trámite.,Corresponde disponer que se corra traslado de la presentación a los actores
329_p5346,329,LibroVol329.4.md,17527,17729,17722,7,202,Alberó,329_p1834,"federales, o un conflicto entre la Nación y la provincia, que justifiquen",otro,,,,,"nante la calificación que las partes hagan de la cuestión debatida, cabe",señalar que no se advierten en el sub lite razones institucionales o,"federales, o un conflicto entre la Nación y la provincia, que justifiquen","aplicar un principio de interpretación restrictiva (Fallos: 315:2157,","considerando 3º, en lo concerniente a la referida prórroga tácita de"
329_p5410,329,LibroVol329.4.md,19951,20481,20359,122,530,Salto,329_p530,de 2005. Luis Santiago González Warcalde.,otro,SI,20438,ENRIQUE SANTIAGO PETRACCHI — CARLOS S. FAYT (según su voto) — JUAN,SI,"que el recurso extraordinario fue correctamente rechazado, por lo que","V.E. puede desestimar la queja interpuesta. Buenos Aires, 26 de julio",de 2005. Luis Santiago González Warcalde.,FALLO DE LA CORTE SUPREMA,"Buenos Aires, 28 de noviembre de 2006."
329_p5605,329,LibroVol329.4.md,27202,27263,27250,13,61,Cohen,329_p2088,situación descripta se ha agravado por la negativa del Banco de la,otro,,,,,ponibilidad serios perjuicios que atentan contra la sustentabilidad del,"mismo” (fs. 562, de las actuaciones principales); a lo que agrega que la",situación descripta se ha agravado por la negativa del Banco de la,"Provincia de Buenos Aires a transferir los fondos reprogramados, pese",a que “venció el cronograma de devolución de depósitos impuesto por
329_p5702,329,LibroVol329.4.md,30760,30867,30768,99,107,Díaz,329_p2186,"gación ulterior. Buenos Aires, 6 de julio de 2006. Luis Santiago González",otro,SI,30781,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — JUAN,,"nunciante en persona y en la que se efectuó la denuncia, seguir cono-","ciendo en estas actuaciones, sin perjuicio de lo que surja de la investi-","gación ulterior. Buenos Aires, 6 de julio de 2006. Luis Santiago González",Warcalde.,FALLO DE LA CORTE SUPREMA
329_p5950,329,LibroVol329.4.md,40006,40532,40266,266,526,Díaz,329_p2433,"Amiano en la causa Alsina, Marcos Adolfo y otros c/ Galería Da Vinci",otro,SI,40527,ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN CARLOS,,"Buenos Aires, 27 de diciembre de 2006.",Vistos los autos: “Recurso de hecho deducido por Oscar Miguel,"Amiano en la causa Alsina, Marcos Adolfo y otros c/ Galería Da Vinci","SACIMI y A.”, para decidir sobre su procedencia.",Considerando:
329_p6033,329,LibroVol329.4.md,43137,43319,43301,18,182,Esso,329_p2511,"Justicia de la Provincia de Misiones, en virtud de la naturaleza difusa",otro,,,,,Considero que en el sub examine se presenta el último de los su-,"puestos enunciados, por lo que el proceso debería tramitar ante la","Justicia de la Provincia de Misiones, en virtud de la naturaleza difusa","de nuestro control de constitucionalidad (Fallos: 311:2478; entre otros),","del respeto del sistema federal y de las autonomías provinciales, que"
329_p6064,329,LibroVol329.4.md,44247,44379,44348,31,132,Transporte,329_p4106,"autos. En efecto, la Gerencia de Asuntos Jurídicos de la ANSeS consi-",otro,,,,SI,propio ente previsional para liquidar las sentencias judiciales en las,que se verifican aspectos fácticos que guardan similitud con los de,"autos. En efecto, la Gerencia de Asuntos Jurídicos de la ANSeS consi-",deró en su dictamen Nº 22.938 (punto III) que el retroactivo de un,"beneficio otorgado con posterioridad a la sanción de la ley 24.241, aun-"
329_p6081,329,LibroVol329.4.md,44882,45085,45049,36,203,Marta,329_p6087,"conforme a derecho. Buenos Aires, 19 de octubre de 2005. Marta A.",otro,SI,45071,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS,SI,"procedente el recurso extraordinario, dejar sin efecto la sentencia y","mandar a que, por medio de quien corresponda, se dicte una nueva","conforme a derecho. Buenos Aires, 19 de octubre de 2005. Marta A.",Beiró de Gonçalvez.,
330_p88,330,LibroVol330.1.md,3092,3487,3273,214,395,Fernández,330_p1405,"las dificultades financieras que atravesaba la Municipalidad, y ha-",otro,SI,3479,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — ENRIQUE,SI,ta corroborada por los dichos defensivos de los imputados y la cronolo-,gía de los hechos que se tienen por probados. Resultando acreditado,"las dificultades financieras que atravesaba la Municipalidad, y ha-",biendo fundado la concreción de las operaciones ‘de pase’ en la imposi-,bilidad de recurrir a los medios normales de ingresos para afrontar los
330_p170,330,LibroVol330.1.md,6182,6279,6255,24,97,Argentina,330_p173,Neuquén c/ Pan American Energy LLC sucursal Argentina s/ cobro,otro,,,,,Energy S.A. y otros s/ sumarísimo’” y P.116 XLI “Pan American Energy,LLC sucursal Argentina s/ inhibitoria en los autos ‘Provincia del,Neuquén c/ Pan American Energy LLC sucursal Argentina s/ cobro,"ejecutivo’”, pronunciamientos del 31 de mayo de 2005 y 7 de marzo de","2006. En consecuencia, cabe desestimar la inhibitoria propuesta."
330_p178,330,LibroVol330.1.md,6466,6617,6541,76,151,Gervasini,330_p3045,"tamen de este Ministerio Público del 26 de agosto de 2004, in re, N.",otro,,,,,FALLOS DE LA CORTE SUPREMA,330,"tamen de este Ministerio Público del 26 de agosto de 2004, in re, N.","184, XXXIX, Originario “Nastasi, Gustavo Daniel c/ Tierra del Fuego,","Antártida e Islas del Atlántico Sur, Provincia de s/ cobro de pesos” y"
330_p205,330,LibroVol330.1.md,7436,7555,7551,4,119,Cresto,330_p3069,tiago González Warcalde.,otro,,,,,"trámite de las actuaciones, sin perjuicio de lo que surja de la investi-","gación ulterior. Buenos Aires, 14 de noviembre del año 2006. Luis San-",tiago González Warcalde.,,208
330_p240,330,LibroVol330.1.md,8722,8799,8765,34,77,Clutterbuck,330_p4549,"de Casación Penal de la Provincia de Buenos Aires, lo cual dio lugar a",otro,SI,8794,RICARDO LUIS LORENZETTI — ENRIQUE SANTIAGO PETRACCHI — CARLOS S.,SI,Gerpe. Ello determinó que la defensa del nombrado dedujera un re-,curso de casación que fue rechazado por la Sala Primera del Tribunal,"de Casación Penal de la Provincia de Buenos Aires, lo cual dio lugar a",la presentación de un recurso de inaplicabilidad de ley que fue deses-,timado por la Suprema Corte de Justicia local. Contra dicha decisión
330_p358,330,LibroVol330.1.md,13212,13494,13396,98,282,Institutos,330_p4664,presupuesto ineludible del estado de derecho y del sistema republi-,otro,SI,13468,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — CARLOS S.,SI,establecida como elemental condición para la real vigencia del prin-,"cipio de legalidad en la actuación de los órganos administrativos,",presupuesto ineludible del estado de derecho y del sistema republi-,"cano de gobierno. Antes que un mero formalismo, la mención expre-",sa de las razones y antecedentes –fácticos y jurídicos– determinan-
330_p399,330,LibroVol330.1.md,14770,16628,15126,1502,1858,Colorin,330_p4706,E/CN.4/Sub.2/2002/4 del Consejo Económico y Social de las Naciones,otro,SI,15602,"Augusto César Belluscio, considerando 9º, pág. 1730; y Carlos S. Fayt,",SI,"nes 3 –2001–”, de la Secretaría de Investigación de Derecho Compara-","do de la Corte Suprema de Justicia, páginas 583/86; y documento",E/CN.4/Sub.2/2002/4 del Consejo Económico y Social de las Naciones,Unidas).,En similar sentido es pertinente mencionar que en el aludido in-
330_p607,330,LibroVol330.1.md,22891,22997,22976,21,106,Polerio,330_p1925,"rían por el orden causado, la Provincia ha solicitado que las generadas",otro,,,,,"A tal fin, es preciso recordar que, si bien del acuerdo suscripto por",las partes surge que las costas de los procesos allí previstos se aplica-,"rían por el orden causado, la Provincia ha solicitado que las generadas","por el incidente de repetición se impongan al Estado Nacional, plan-","teo que según expresé en el relato precedente, fue reiterado por la"
330_p610,330,LibroVol330.1.md,23004,23309,23274,35,305,Estribo,330_p3455,"nario “Blackie, Paula Yanina y otros c/ Córdoba, Provincia de s/ daños",otro,SI,23305,ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — ENRIQUE SANTIAGO,SI,330,"Estero s/ daños y perjuicios” –Fallos: 329:2737–; B. 798, XXXVI, Origi-","nario “Blackie, Paula Yanina y otros c/ Córdoba, Provincia de s/ daños","y perjuicios” –Fallos: 329:3065–, sentencias del 18 de abril, 9, 16 y 30","de mayo, 20 de junio, 11 de julio y 8 de agosto de 2006 respectiva-"
330_p618,330,LibroVol330.1.md,23310,23340,23314,26,30,Scania,330_p4930,VIEIRA ARGENTINA S.A. V. PROVINCIA DEL CHUBUT,sumario_header,,,,,"Profesionales intervinientes: Dr. Duilio Oscar Carrizo Miranda, letrado patro-",cinante de la parte actora.,VIEIRA ARGENTINA S.A. V. PROVINCIA DEL CHUBUT,COSTAS: Desarrollo del juicio. Desistimiento.,El lapso de tres meses transcurrido entre la promulgación de la norma y el desis-
330_p780,330,LibroVol330.1.md,29644,29805,29800,5,161,Pabón,330_p3627,a su jurisdicción adopte la Provincia de Tucumán si se endereza con-,otro,,,,,rrafo del punto II de su dictamen.,También es dicho juez quien deberá ponderar la conducta que frente,a su jurisdicción adopte la Provincia de Tucumán si se endereza con-,"tra ella la ejecución, ya que cabe recordar al respecto que el Estado",
330_p1236,330,LibroVol330.1.md,47160,47350,47331,19,190,Provincia,330_p4076,"Carlos c/ Comisión Nacional de Energía Atómica”, para decidir sobre",otro,SI,47346,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — CARLOS S.,SI,Vistos los autos: “Recurso de hecho deducido por el Estado Nacio-,"nal – Comisión Nacional de Energía Atómica en la causa Dima, Juan","Carlos c/ Comisión Nacional de Energía Atómica”, para decidir sobre",su procedencia.,Considerando:
330_p1257,330,LibroVol330.1.md,47952,48074,48065,9,122,Nación,330_p1261,"Nación). Vuelvan los autos al tribunal de origen a fin de que, por me-",otro,SI,48070,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — ENRIQUE,,el recurso extraordinario y se deja sin efecto el pronunciamiento ape-,lado. Con costas (art. 68 del Código Procesal Civil y Comercial de la,"Nación). Vuelvan los autos al tribunal de origen a fin de que, por me-","dio de quien corresponda, se dicte un nuevo pronunciamiento con arre-",glo a lo expresado. Reintégrese el depósito de fs. 1. Agréguese la queja
330_p1271,330,LibroVol330.1.md,48494,48663,48648,15,169,Juárez,330_p4113,"Provincia de y otro s/ acción de amparo”, del 9 de febrero de 2004, a",otro,,,,,efectúa el reclamo (Fallos: 321:551; 325:961 y dictamen de este Minis-,"terio Público in re P.610, XXXIX, “Pardo, Jorge Raúl c/ Buenos Aires,","Provincia de y otro s/ acción de amparo”, del 9 de febrero de 2004, a",cuyos argumentos y conclusiones se remitió V.E. en su sentencia del,"24 de febrero de 2004, entre otros)."
330_p1325,330,LibroVol330.2.md,49,330,283,47,281,Bossa,330_p4313,"(confr. cons. 6º de la sentencia dictada en “Banco de Mendoza”, en el",otro,SI,320,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — ENRIQUE,SI,del régimen instaurado por la ley 24.073 al reafirmar el sistema de,compensación de quebrantos con utilidades de diferentes ejercicios”,"(confr. cons. 6º de la sentencia dictada en “Banco de Mendoza”, en el",que se reseña la posición adoptada por el Fisco Nacional en esa causa).,
330_p1603,330,LibroVol330.2.md,10549,10636,10631,5,87,Caja,330_p3149,"para la Actividad Docente c/ Jujuy, Provincia de –Poder Ejecutivo– s/",otro,,,,,cunstancias de ninguna manera permiten concluir en la inexistencia,de la deuda (confr. C.442.XXII “Caja Complementaria de Previsión,"para la Actividad Docente c/ Jujuy, Provincia de –Poder Ejecutivo– s/","ejecución fiscal”, pronunciamiento del 19 de diciembre de 1989).",
330_p1632,330,LibroVol330.2.md,11611,11696,11666,30,85,ANSeS,330_p1635,"mandato respectivo, la Gerencia de Asuntos Jurídicos de la ANSeS",otro,SI,11688,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — ENRIQUE,SI,hubieran jubilado en organismos privatizados o disueltos.,5º) Que aun cuando la mencionada secretaría omitió ejercer el,"mandato respectivo, la Gerencia de Asuntos Jurídicos de la ANSeS","aconsejó al organismo, por medio del dictamen Nº 5905/94, asimilar-","los a los agentes de la Dirección General Impositiva, opinión jurídica"
330_p1814,330,LibroVol330.2.md,18702,18783,18777,6,81,Suárez,330_p499,actora (art. 73 del Código Procesal Civil y Comercial de la Nación). 2.,otro,,,,,"Por ello, se resuelve: 1. Admitir el desistimiento formulado con","relación a la codemandada Provincia de Buenos Aires, con costas a la",actora (art. 73 del Código Procesal Civil y Comercial de la Nación). 2.,Declarar la incompetencia de esta Corte para conocer en estas actua-,"ciones. Notifíquese y, oportunamente, remítaselas al Juzgado Nacio-"
330_p1888,330,LibroVol330.2.md,21548,21717,21711,6,169,Cáceres,330_p4879,Vistos los autos: “Recurso de hecho deducido por el Banco,vistos,,,,,FALLO DE LA CORTE SUPREMA,"Buenos Aires, 24 de abril de 2007.",Vistos los autos: “Recurso de hecho deducido por el Banco,"Macrobansud S.A. en la causa Brizuela, Alfredo Juan c/ Scotiabank","Quilmes S.A.”, para decidir sobre su procedencia."
330_p1925,330,LibroVol330.2.md,22929,22984,22974,10,55,Provincia,330_p1927,"Estero, Provincia de c/ Gobierno Nacional s/ acción de amparo”, sen-",otro,,,,,"rios Integrados S.A. c/ Chubut, Provincia del s/ acción de amparo”,",sentencia del 11 de diciembre de 2003; S.1119.XXXI “Santiago del,"Estero, Provincia de c/ Gobierno Nacional s/ acción de amparo”, sen-",tencia del 21 de noviembre de 2006 –Fallos: 329:5353–).,"5º) Que, en ese entendimiento, el agravio expresado por el"
330_p1947,330,LibroVol330.2.md,23777,23870,23830,40,93,Claudia,330_p633,I de la Cámara Federal de la Seguridad Social confirmó la declaración,otro,,,,,330,"3º) Que apelada la sentencia por la ANSeS y por la actora, la Sala",I de la Cámara Federal de la Seguridad Social confirmó la declaración,de inconstitucionalidad del tope que era de aplicación y el régimen,especial referido. Sostuvo que los agravios del titular relacionados con
330_p2040,330,LibroVol330.2.md,27381,27592,27461,131,211,Torres,330_p725,"Antonio Domingo Bussi en la causa Vargas Aignasse, Guillermo s/",otro,SI,27530,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — CARLOS S.,SI,"Buenos Aires, 3 de mayo de 2007.",Vistos los autos: “Recurso de hecho deducido por la defensa de,"Antonio Domingo Bussi en la causa Vargas Aignasse, Guillermo s/","secuestro y desaparición –causa Nº 262/76–”, para decidir sobre su",procedencia.
330_p2059,330,LibroVol330.2.md,28081,28136,28117,19,55,Provincia,330_p2061,provincia en un pleito que se rige sustancialmente por el derecho pú-,otro,,,,SI,"2º, inc. 2º, de la ley 48 y art. 24, inc. 1º, del decreto-ley 1285/58), y no","como en el caso, en donde un ciudadano extranjero demanda a una",provincia en un pleito que se rige sustancialmente por el derecho pú-,"blico local, supuesto en el que la distinta nacionalidad cede ante el","principio superior de la autonomía provincial (Fallos: 322:2444, consi-"
330_p2192,330,LibroVol330.2.md,33092,33624,33265,359,532,Banco,330_p3722,"notificado fehacientemente, el Poder Ejecutivo puede acudir ante la",otro,,,,SI,rresponde que constituya domicilio ni puede quedar notificado minis-,"terio legis, pues sólo en caso de revocarse el acto y una vez que es","notificado fehacientemente, el Poder Ejecutivo puede acudir ante la",,2197
330_p2286,330,LibroVol330.2.md,36636,37336,36970,366,700,Amarillo,330_p960,tuto Nacional de Estadísticas y Censos dependiente del Ministerio de,otro,SI,37242,ministro doctor Carlos S. Fayt; 316:212 y doctrina de Fallos: 315:1883),SI,pondrá por la tasa de variación diaria obtenido de la evolución men-,sual del Indice de Precios al Consumidor (IPC) publicado por el Insti-,tuto Nacional de Estadísticas y Censos dependiente del Ministerio de,"Economía de la Nación, cuya metodología se establece en el Anexo I de",la presente ley. La aplicación del Coeficiente de Estabilización de Re-
330_p2414,330,LibroVol330.2.md,41658,41725,41700,25,67,General,330_p2416,"Por ello, habiendo dictaminado el señor Procurador General de la",otro,SI,41720,RICARDO LUIS LORENZETTI — ELENA I. HIGHTON DE NOLASCO — CARLOS S.,SI,"causa mencionada, que dan íntegramente por reproducida en cuanto",a sus consideraciones y conclusión.,"Por ello, habiendo dictaminado el señor Procurador General de la",Nación y por mayoría se resuelve:,1. Declarar procedente el recurso extraordinario.
330_p2452,330,LibroVol330.2.md,43118,43595,43377,218,477,Silva,330_p5435,de la Nación).,otro,SI,43383,RICARDO LUIS LORENZETTI (en disidencia parcial) — ELENA I. HIGHTON DE,SI,"Que el recurso extraordinario, cuya denegación dio origen a esta","queja, es inadmisible (art. 280 del Código Procesal Civil y Comercial",de la Nación).,"Por ello, concordemente con el resultado dictaminado por la seño-","ra Procuradora Fiscal subrogante, se desestima la queja. Declárase"
